category,question,answer
kp,Apa tujuan dari pelaksanaan Kerja Praktik (KP) bagi mahasiswa Program Sarjana di Fakultas Informatika?,Tujuan dari pelaksanaan Kerja Praktik (KP) bagi mahasiswa Program Sarjana di Fakultas Informatika adalah untuk membantu mahasiswa mencapai Course Learning Outcome (CLO) sesuai dengan Kurikulum 2020 yang telah ditetapkan.
kp,Apa yang dimaksud dengan Kerja Praktik (KP) dalam konteks Program Sarjana di Fakultas Informatika?,Kerja Praktik (KP) dalam konteks Program Sarjana di Fakultas Informatika merupakan suatu kegiatan akademik yang wajib dilaksanakan oleh mahasiswa. Kegiatan KP dilakukan untuk memberikan wawasan pengetahuan dan pengalaman kerja kepada mahasiswa sesuai dengan program studinya masing-masing.
kp,Siapa yang terlibat dalam tim kegiatan Kerja Praktik (KP)?,"Dalam tim kegiatan Kerja Praktik (KP) terlibat mahasiswa, tim pengelola KP, dan instansi terkait. Tim pengelola KP terdiri dari Koordinator KP, Pembimbing akademik, dan Petugas administrasi KP."
kp,Apa peran dari koordinator KP dalam pelaksanaan Kerja Praktik (KP)?,"Peran dari koordinator KP dalam pelaksanaan Kerja Praktik (KP) adalah sebagai berikut:\n1. Membantu Ka.Prodi dalam pelaksanaan KP secara keseluruhan.\n2. Melakukan perencanaan pelaksanaan KP, termasuk menyediakan informasi mengenai tempat KP bagi mahasiswa, waktu pelaksanaan, dan sosialisasi KP kepada Dosen dan Mahasiswa.\n3. Mengusulkan daftar Pembimbing Akademik kepada Ketua Program Studi untuk ditetapkan oleh Dekan.\n4. Membuat laporan pelaksanaan dan evaluasi kegiatan KP untuk diserahkan kepada Ka.Prodi.\n5. Memasukkan nilai MK KP ke dalam Sistem Akademik sesuai dengan jadwal tentative."
kp,Apa peran dari pembimbing akademik dalam pelaksanaan Kerja Praktik (KP)?,Peran dari pembimbing akademik dalam pelaksanaan Kerja Praktik (KP) adalah sebagai berikut:\n1. Mengarahkan mahasiswa sebelum melakukan penyusunan proposal KP.\n2. Membimbing mahasiswa dalam mengimplementasikan keilmuan sesuai program studi masing-masing.\n3. Membimbing mahasiswa dalam pembuatan laporan KP dan memberikan pengesahan terhadap laporan akhir KP.\n4. Memberikan penilaian terhadap hasil KP sesuai dengan aturan yang telah ditetapkan.\n5. Mengumpulkan berkas akhir KP sesuai Form KP-04.
kp,Apa yang harus dilakukan oleh mahasiswa dalam pelaksanaan Kerja Praktik (KP)?,"Dalam pelaksanaan Kerja Praktik (KP), mahasiswa harus melakukan beberapa hal berikut:\n1. Menyerahkan buku panduan Kerja Praktik kepada Pembimbing Lapangan.\n2. Melakukan proses bimbingan dengan pembimbing lapangan dan pembimbing akademik.\n3. Melakukan penulisan laporan kegiatan KP.\n4. Mengajukan permohonan nilai dengan menyerahkan Form KP-03B kepada pembimbing lapangan.\n5. Menyerahkan Form KP-03B, Surat Keterangan telah menyelesaikan KP, Laporan pelaksanaan KP, dan Form KP-03A kepada pembimbing akademik."
kp,Apa yang termasuk dalam ruang lingkup kerja praktik?,"Ruang lingkup kerja praktik mencakup aktivitas, kegiatan, dan pekerjaan yang dilakukan oleh mahasiswa selama kerja praktik. Aktivitas tersebut harus sesuai dengan keilmuan yang ada pada program studi di Fakultas Informatika dan harus memiliki relevansi dengan kompetensi yang diharapkan dari program studi tersebut."
kp,Berapa beban SKS yang harus ditempuh dalam Kerja Praktik (KP)?,Beban SKS yang harus ditempuh dalam Kerja Praktik (KP) adalah 3 SKS.
kp,Apa saja kompetensi yang harus dikembangkan oleh mahasiswa dalam Kerja Praktik (KP)?,"Mahasiswa dalam Kerja Praktik (KP) diharapkan dapat mengembangkan kemampuan softskill, seperti kemampuan berkomunikasi, kejujuran, kerjasama tim, interpersonal, beretika, inisiatif tinggi, beradaptasi, daya analitik, problem solving, keorganisasian, kepercayaan diri, kedisiplinan, dan kemandirian."
kp,Apa yang diharapkan dari mahasiswa setelah menyelesaikan Kerja Praktik (KP)?,"Setelah menyelesaikan Kerja Praktik (KP), diharapkan bahwa mahasiswa akan mendapatkan wawasan pengetahuan dan pengalaman kerja sesuai dengan program studinya. Mereka diharapkan dapat melihat korelasi antara ilmu yang dipelajari dengan implementasi di dunia kerja serta dapat menghasilkan laporan akhir sebagai bagian dari evaluasi pembelajaran."
proposal,Apa persyaratan yang harus dipenuhi oleh mahasiswa untuk mengambil Mata Kuliah Penulisan Proposal di FIF?,"Mahasiswa yang hendak mengambil Mata Kuliah Penulisan Proposal di FIF harus memenuhi dua persyaratan, yaitu:\n1. Sudah lulus Sidang Tingkat 2, dan\n2. Sudah lulus minimal 110 SKS, kecuali untuk mahasiswa yang dapat lulus lebih cepat dari masa studi normal melalui keputusan Ketua Program Studi Sarjana."
proposal,Apa bentuk tugas akhir yang dijelaskan dalam panduan penulisan proposal di FIF?,Tugas akhir yang dijelaskan dalam panduan penulisan proposal di FIF adalah Tugas Akhir Berbasis Riset.
proposal,Apa karakteristik dari penelitian yang dilakukan dalam penulisan proposal di FIF?,"Penelitian yang dilakukan dalam penulisan proposal di FIF memiliki karakteristik sebagai berikut:\n1. Difokuskan untuk mengeksplorasi dalam arti menguraikan, memprediksi, dan menjelaskan dasar perilaku fundamental teori keilmuan dalam bidang informatika dan komputer.\n2. Bentuk kerja eksperimental atau teoritis yang dilakukan terutama untuk memperoleh pengetahuan baru dari dasar yang mendasari fenomena dan fakta-fakta yang dapat diobservasi.\n3. Mengikuti kaidah-kaidah dan standar-standar metodologi penelitian sesuai dengan bidang informatika dan komputer."
proposal,Apa saja kaidah dan standar metodologi penelitian yang harus diikuti dalam penulisan proposal di FIF?,"Kaidah dan standar metodologi penelitian yang harus diikuti dalam penulisan proposal di FIF adalah mengikuti kaidah penulisan yang layak, menggunakan bahasa dan istilah baku dengan singkat dan jelas, serta mengikuti kelaziman penulisan pada disiplin keilmuan yang diikuti. Selain itu, bahasa Indonesia yang digunakan harus formal dengan tingkat keresmian yang tinggi dan menaati kaidah tata bahasa resmi."
proposal,Apa format penulisan laporan akhir Informatika untuk Masyarakat yang harus diikuti dalam penulisan proposal di FIF?,"Format penulisan laporan akhir Informatika untuk Masyarakat yang harus diikuti dalam penulisan proposal di FIF adalah sebagai berikut:\n1. Halaman Sampul (Lampiran 5.1)\n2. Halaman Pengesahan (Lampiran 5.2)\n3. Daftar Tim Pelaksana (Lampiran 5.3)\n4. Daftar Isi, termasuk daftar tabel & daftar lampiran\n5. Abstrak\n6. Latar Belakang\n7. Solusi, Target luaran\n8. Hasil Kegiatan pengmas"
proposal,Apa jenis huruf dan ukuran font yang harus digunakan dalam penulisan proposal di FIF?,"Jenis huruf yang harus digunakan dalam penulisan proposal di FIF adalah Calibri, dan ukuran font yang harus digunakan adalah 11 point untuk isi proposal dan 12 point untuk bagian lainnya."
proposal,"Berapa margin kiri, kanan, atas, dan bawah yang harus digunakan dalam penulisan proposal di FIF?","Margin yang harus digunakan dalam penulisan proposal di FIF adalah sebagai berikut:\n- Margin kiri: 3 cm\n- Margin kanan: 2,5 cm\n- Margin atas: 2,5 cm\n- Margin bawah: 2,5 cm"
proposal,Apa yang dimaksud dengan MS Word dalam konteks penulisan proposal di FIF?,MS Word dalam konteks penulisan proposal di Fakultas Informatika (FIF) merujuk pada perangkat lunak pengolah kata Microsoft Word. Dokumen proposal pengabdian masyarakat di FIF ditulis menggunakan MS Word dengan format tertentu sesuai dengan aturan penulisan yang telah ditetapkan.
proposal,Berapa ukuran kertas yang harus digunakan dalam penulisan proposal di FIF?,Ukuran kertas yang harus digunakan dalam penulisan proposal di FIF adalah kertas A4.
proposal,Apa yang dimaksud dengan margin dalam konteks penulisan proposal di FIF?,"Margin dalam konteks penulisan proposal di FIF adalah jarak antara tepi kertas dengan teks atau elemen-elemen lainnya. Margin ini harus diatur sesuai dengan ketentuan yang telah ditetapkan, yaitu margin kiri sebesar 3 cm, sedangkan margin kanan, atas, dan bawah sebesar 2,5 cm."
wisuda,Apa saja dokumen yang harus diisi dan diunggah secara daring pada aplikasi pendaftaran wisuda?,"Dokumen yang harus diisi dan diunggah secara daring pada aplikasi pendaftaran wisuda meliputi kuesioner akhir studi, survei pra-tracer, formulir pendaftaran, dan foto."
wisuda,Bagaimana cara mengisi kuesioner akhir studi dalam proses pendaftaran wisuda?,"Untuk mengisi kuesioner akhir studi dalam proses pendaftaran wisuda, mahasiswa harus mengunggah foto, mengisi survei pra-tracer, dan mengisi formulir pendaftaran secara daring pada aplikasi pendaftaran wisuda."
wisuda,Apa yang harus dilakukan setelah pendaftaran wisuda disetujui?,"Setelah pendaftaran wisuda disetujui, langkah selanjutnya adalah melakukan pengambilan toga sesuai dengan pengaturan yang disampaikan pada setiap pengumuman pendaftaran wisuda dengan menyertakan berita acara pendaftaran wisuda."
wisuda,Bagaimana cara mendapatkan undangan wisuda dan kalung wisudawan dari Universitas Telkom?,"Setelah melaksanakan pendaftaran wisuda dan disetujui, lulusan dapat mendapatkan undangan wisuda dan kalung wisudawan dari Universitas Telkom dengan menyerahkan hasil cetakan formulir pendaftaran wisuda pada pihak yang bertanggung jawab, yaitu pada huruf c."
wisuda,Apa yang harus dilakukan setelah mendaftar wisuda untuk mendapatkan toga?,"Setelah mendaftar wisuda, lulusan diperkenankan melakukan pengambilan toga sesuai dengan pengaturan yang disampaikan pada setiap pengumuman pendaftaran wisuda dengan menyertakan berita acara pendaftaran wisuda."
wisuda,Apa yang harus disertakan saat mengambil toga untuk wisuda?,Mahasiswa harus menyertakan berita acara pendaftaran wisuda saat mengambil toga untuk wisuda.
wisuda,Bagaimana pengaturan pengambilan toga yang disampaikan dalam pengumuman pendaftaran wisuda?,Pengaturan pengambilan toga disampaikan dalam pengumuman pendaftaran wisuda dengan menyertakan berita acara pendaftaran wisuda.
wisuda,Apa yang harus dilakukan setelah mengambil toga untuk wisuda?,"Setelah mengambil toga untuk wisuda, langkah selanjutnya adalah menyertakan berita acara pendaftaran wisuda untuk mengikuti upacara wisuda sesuai dengan pengaturan yang disampaikan pada setiap pengumuman pendaftaran wisuda."
wisuda,Bagaimana prosedur registrasi dan pengambilan Kartu Studi Mahasiswa (KSM) sebelum memulai semester?,"Prosedur registrasi dan pengambilan Kartu Studi Mahasiswa (KSM) sebelum memulai semester adalah sebagai berikut:\n1. Mahasiswa melakukan pembayaran biaya pendidikan selama periode pembayaran yang diperkenankan.\n2. Mahasiswa melakukan proses registrasi pengambilan mata kuliah dan mengajukan approval rencana studi ke dosen wali melalui aplikasi SIRAMA.\n3. Setelah dosen wali melakukan approval rencana studi, mahasiswa diwajibkan melakukan pencetakan Kartu Rencana Studi (KRS).\n4. Generate KSM untuk mengaktifkan status mahasiswa pada semester berjalan akan dilakukan di iGracias oleh BSLA sesuai periode yang ditetapkan dengan melakukan pengecekan status cetak KRS dan status pembayaran."
wisuda,Apa yang harus dilakukan dalam registrasi untuk mencatatkan diri sebagai mahasiswa aktif dan mengesahkan rencana studi pada semester tersebut?,"Untuk mencatatkan diri sebagai mahasiswa aktif dan mengesahkan rencana studi pada semester tersebut, mahasiswa harus melakukan pembayaran biaya pendidikan, mendapatkan persetujuan rencana studi dari Dosen Wali melalui proses perwalian, dan mencetak Kartu Studi Mahasiswa (KSM)."
perwalian,Apa saja dokumen yang harus disiapkan untuk proses perwalian?,"Dokumen yang harus disiapkan untuk proses perwalian adalah:\n\n1. Surat pernyataan dari pemohon\n2. Daftar riwayat hidup\n3. Dokumen asesmen mandiri terhadap CP\n4. Rekomendasi dari atasan langsung atau tidak langsung\n5. Buku catatan (logbook)\n6. Karya monumental\n7. Dokumen lainnya yang membuktikan pengalaman, keahlian, dan/atau pengetahuan tertentu yang relevan dengan kualifikasi pemohon sesuai kompetensi yang diharapkan."
perwalian,Bagaimana cara mengisi formulir perwalian yang dijelaskan dalam panduan?,Silakan hubungi admin. Panduan yang saya miliki tidak menjelaskan secara detail cara mengisi formulir perwalian.
perwalian,Apa yang harus dilakukan jika terdapat kesalahan dalam pengisian formulir perwalian?,"Jika terdapat kesalahan dalam pengisian formulir perwalian, mahasiswa harus segera menghubungi pihak yang berwenang di fakultas atau universitas untuk mendapatkan petunjuk lebih lanjut mengenai prosedur perbaikan kesalahan tersebut."
perwalian,Bagaimana proses pengajuan perwalian online di Fakultas Informatika?,Proses pengajuan perwalian online di Fakultas Informatika dilakukan dengan cara merencanakan studi yang kemudian di-approve oleh dosen wali melalui perwalian online.
perwalian,Apa yang harus dilakukan jika terdapat kendala teknis dalam pengajuan perwalian online?,"Jika terdapat kendala teknis dalam pengajuan perwalian online, mahasiswa harus segera menghubungi dosen wali atau pihak yang bertanggung jawab di Program Studi untuk mendapatkan bantuan dan solusi."
perwalian,Bagaimana proses verifikasi perwalian setelah pengajuan online?,"Setelah pengajuan online, proses verifikasi perwalian dilakukan dengan cara melakukan registrasi dan herregistrasi."
perwalian,Apa yang harus dilakukan jika terdapat perubahan mata kuliah yang ingin diambil setelah pengajuan perwalian?,"Jika terdapat perubahan mata kuliah yang ingin diambil setelah pengajuan perwalian, mahasiswa harus melakukan Perubahan Rencana Studi (PRS) melalui aplikasi iGracias sesuai dengan periode yang ditetapkan."
perwalian,Bagaimana cara mengetahui jadwal perkuliahan setelah perwalian disetujui?,"Setelah perwalian disetujui, mahasiswa dapat mengetahui jadwal perkuliahan melalui Sistem Informasi Akademik yang biasanya dapat diakses melalui portal universitas masing-masing."
perwalian,Apa yang harus dilakukan jika terdapat konflik jadwal mata kuliah setelah perwalian disetujui?,"Jika terdapat konflik jadwal mata kuliah setelah perwalian disetujui, penambahan jumlah mata kuliah hanya dapat dilakukan sebagai kompensasi pengurangan akibat pemindahan kelas mata kuliah. Penambahan jumlah mata kuliah harus melalui izin Dosen Wali dan persetujuan Ketua Program Studi."
perwalian,Bagaimana proses pembayaran biaya perwalian yang dijelaskan dalam panduan?,"Setelah rencana studi disetujui oleh dosen wali, mahasiswa melakukan pembayaran sesuai tagihan yang ditetapkan. Pembayaran dapat dilakukan hingga tanggal 01 September 2023. Setelah pembayaran dilakukan, mahasiswa diwajibkan melakukan pencetakan Kartu Studi Mahasiswa (KSM) di iGracias."
sirama,"Bagaimana cara melakukan proses setuju, reset, dan melihat status mahasiswa dalam aplikasi registrasi Sirama untuk dosen wali?","Dalam aplikasi registrasi Sirama, dosen wali dapat melakukan proses setuju, reset, dan melihat status mahasiswa dengan menggunakan fitur ""List Registrasi"". Dalam fitur ini, dosen wali dapat melihat daftar registrasi mahasiswa, kemudian memilih aksi yang ingin dilakukan seperti menyetujui registrasi, mereset registrasi, atau melihat status registrasi apakah sudah di ACC atau belum. Selain itu, dosen wali juga dapat melihat informasi lebih detail mengenai registrasi mahasiswa dengan memilih aksi seperti Mata Kuliah, Arsip KSM, Pembayaran, dan Riwayat."
sirama,"Apa saja informasi yang dapat dilihat oleh dosen wali pada menu registrasi, seperti data pribadi mahasiswa dan log proses registrasi?","Dosen wali dapat melihat informasi data mahasiswa berupa mata kuliah, arsip KSM, pembayaran, dan riwayat pada menu registrasi. Mereka juga dapat melihat status registrasi mahasiswa, menyetujui, mencetak KSM, atau mereset proses registrasi mahasiswa."
sirama,Bagaimana langkah-langkah untuk melakukan pemilihan mata kuliah dan mendapatkan persetujuan dari dosen wali dalam aplikasi registrasi Sirama?,"Langkah-langkah untuk melakukan pemilihan mata kuliah dan mendapatkan persetujuan dari dosen wali dalam aplikasi registrasi Sirama adalah sebagai berikut:\n1. Pada menu Registrasi, pilih sub menu Mata Kuliah.\n2. Pilih mata kuliah yang ingin diambil sesuai dengan yang sudah ditetapkan.\n3. Jika perlu, lihat preview jadwal perkuliahan.\n4. Setelah memilih mata kuliah, klik ""Siap Registrasi"" untuk proses persetujuan dari dosen wali.\n5. Dosen wali akan membaca dan menyetujui pemilihan mata kuliah yang telah dilakukan.\n6. Untuk melihat status persetujuan, Anda dapat memeriksa menu Status pada aplikasi Sirama.\n\nDengan mengikuti langkah-langkah di atas, Anda dapat melakukan pemilihan mata kuliah dan mendapatkan persetujuan dari dosen wali melalui aplikasi registrasi Sirama."
sirama,Bagaimana langkah-langkah untuk mengelola data registrasi mahasiswa dalam aplikasi Sirama bagi Kaprodi?,"Langkah-langkah untuk mengelola data registrasi mahasiswa dalam aplikasi Sirama bagi Kaprodi adalah sebagai berikut:\n1. Masuk ke aplikasi Sirama menggunakan akun Kaprodi.\n2. Pilih menu ""List Registrasi"" untuk melihat daftar registrasi mahasiswa.\n3. Pilih aksi yang diinginkan, seperti ""Mata Kuliah"", ""Arsip KSM"", ""Pembayaran"", atau ""Riwayat"" untuk mendapatkan informasi lebih lanjut.\n4. Lakukan proses verifikasi dan validasi data registrasi mahasiswa.\n5. Setujui atau reset registrasi mahasiswa sesuai kebutuhan.\n6. Perbarui status mahasiswa jika diperlukan.\n7. Simpan perubahan yang telah dilakukan.\n8. Pastikan untuk melakukan tindak lanjut yang diperlukan terkait data registrasi mahasiswa.\n\nSaya harap jawaban ini membantu!"
sirama,Apa saja fitur yang tersedia dalam menu registrasi Sirama yang dapat digunakan oleh Kaprodi?,"Dalam menu registrasi Sirama, Kaprodi dapat menggunakan fitur-fitur berikut:\n1. Mata Kuliah\n2. Arsip KSM\n3. Pembayaran\n4. Riwayat"
sirama,Bagaimana cara melihat status registrasi mahasiswa dan melakukan reset jika diperlukan dalam aplikasi Sirama untuk Kaprodi?,"Untuk melihat status registrasi mahasiswa dan melakukan reset jika diperlukan dalam aplikasi Sirama untuk Kaprodi, Kaprodi dapat mengakses menu ""List Registrasi"". Di dalam menu tersebut, Kaprodi dapat melihat status mahasiswa dan melakukan reset dengan melakukan pencarian mahasiswa berdasarkan nama mahasiswa yang bersangkutan."
sirama,Bagaimana cara melakukan registrasi perkuliahan menggunakan aplikasi Sirama sebagai mahasiswa?,"Untuk melakukan registrasi perkuliahan menggunakan aplikasi Sirama sebagai mahasiswa, Anda perlu mengikuti langkah-langkah berikut:\n1. Login ke aplikasi Sirama menggunakan akun mahasiswa Anda.\n2. Pilih menu registrasi yang tersedia di dalam aplikasi.\n3. Pilih mata kuliah yang ingin Anda ambil.\n4. Lakukan proses pembayaran jika diperlukan.\n5. Periksa riwayat registrasi Anda untuk memastikan bahwa proses registrasi telah berhasil.\n\nDengan mengikuti langkah-langkah di atas, Anda dapat melakukan registrasi perkuliahan menggunakan aplikasi Sirama sebagai mahasiswa."
sirama,Apa saja informasi yang harus disiapkan sebelum melakukan registrasi perkuliahan melalui aplikasi Sirama?,"Sebelum melakukan registrasi perkuliahan melalui aplikasi Sirama, informasi yang harus disiapkan adalah data mahasiswa, data mata kuliah yang akan diambil, data arsip KSM, informasi pembayaran, dan riwayat registrasi."
sirama,Bagaimana cara memilih mata kuliah yang ingin diambil dan melihat jadwal perkuliahan melalui aplikasi Sirama?,"Untuk memilih mata kuliah yang ingin diambil dan melihat jadwal perkuliahan melalui aplikasi Sirama, pengguna dapat mengikuti langkah-langkah berikut:\n1. Buka menu Registrasi pada aplikasi Sirama.\n2. Pilih submenu Mata Kuliah.\n3. Pada halaman Mata Kuliah, pengguna dapat melakukan pemilihan mata kuliah sesuai yang sudah ditetapkan.\n4. Pengguna juga dapat melihat jadwal perkuliahan dengan mengklik opsi ""preview jadwal"" pada proses pemilihan mata kuliah.\n5. Setelah memilih mata kuliah yang diinginkan, klik ""Siap Registrasi"" untuk proses tersebut dapat dibaca dan diterima oleh dosen wali."
sirama,Bagaimana cara melakukan pembayaran biaya perkuliahan setelah melakukan registrasi melalui aplikasi Sirama?,"Setelah melakukan registrasi melalui aplikasi Sirama, Anda dapat melakukan pembayaran biaya perkuliahan dengan mengakses menu Pembayaran. Di menu Pembayaran, Anda akan melihat informasi status pembayaran mahasiswa disetiap semester berupa tahun ajaran, BPP Paket, potongan, total pembayaran, serta kwitansi sebagai bukti telah melunasi pembayaran semester tersebut."
